placeholder_curie	category	label	source_columns	occurrences	target_curie	target_label	mapping_status	curator_notes
kgmicrobe.trait:proline_arylamidase	biolink:PhenotypicQuality	proline-arylamidase	BacDive_Enzyme_activity	126			UNMAPPED	
kgmicrobe.pathway:methanol_oxidation	biolink:BiologicalProcess	methanol_oxidation	faprotax:type_of_metabolism	125			UNMAPPED	
kgmicrobe.trait:04_37	biolink:PhenotypicQuality	04-37	BacDive_Temperature_for_growth	125			UNMAPPED	
kgmicrobe.trait:leaf_phyllosphere	biolink:PhenotypicQuality	#Leaf (Phyllosphere)	BacDive_Isolation_category_3	123			UNMAPPED	
kgmicrobe.trait:s_lactate	biolink:PhenotypicQuality	(S)-lactate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	123			UNMAPPED	
kgmicrobe.trait:0_55	biolink:PhenotypicQuality	0.55	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration	120			UNMAPPED	
kgmicrobe.trait:carboxymethylcellulose	biolink:PhenotypicQuality	carboxymethylcellulose	BacDive_Metabolite_utilization	120			UNMAPPED	
kgmicrobe.trait:7_days	biolink:PhenotypicQuality	7 days	BacDive_Incubation_period	119			UNMAPPED	
kgmicrobe.trait:ceftriaxone	biolink:PhenotypicQuality	ceftriaxone	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	118			UNMAPPED	
kgmicrobe.trait:desert	biolink:PhenotypicQuality	#Desert	BacDive_Isolation_category_3	118			UNMAPPED	
kgmicrobe.trait:variable	biolink:PhenotypicQuality	variable	BacDive_Gram_stain	116			UNMAPPED	
kgmicrobe.trait:male	biolink:PhenotypicQuality	#Male	BacDive_Isolation_category_3	115			UNMAPPED	
kgmicrobe.compound:pyg	biolink:ChemicalEntity	PYG	bergey:substrates	114			UNMAPPED	
kgmicrobe.trait:60	biolink:PhenotypicQuality	60	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	114			UNMAPPED	
kgmicrobe.trait:wetland_swamp	biolink:PhenotypicQuality	#Wetland (Swamp)	BacDive_Isolation_category_3	114			UNMAPPED	
kgmicrobe.trait:sputum	biolink:PhenotypicQuality	#Sputum	BacDive_Isolation_category_3	113			UNMAPPED	
kgmicrobe.trait:6_0_10_0	biolink:PhenotypicQuality	6.0-10.0	BacDive_Salt_concentration|BacDive_pH_for_growth	112			UNMAPPED	
kgmicrobe.trait:6_10	biolink:PhenotypicQuality	6-10	BacDive_Salt_concentration|BacDive_pH_for_growth	112			UNMAPPED	
kgmicrobe.trait:d_fructose_6_phosphate	biolink:PhenotypicQuality	D-fructose 6-phosphate	BacDive_Metabolite_utilization	112			UNMAPPED	
kgmicrobe.trait:stomach	biolink:PhenotypicQuality	#Stomach	BacDive_Isolation_category_3	112			UNMAPPED	
kgmicrobe.trait:7_5	biolink:PhenotypicQuality	7.5	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	110			UNMAPPED	
kgmicrobe.trait:mangrove	biolink:PhenotypicQuality	#Mangrove	BacDive_Isolation_category_3	110			UNMAPPED	
kgmicrobe.pathway:anoxygenic_photoautotrophy	biolink:BiologicalProcess	anoxygenic_photoautotrophy	faprotax:type_of_metabolism	109			UNMAPPED	
kgmicrobe.trait:0_25	biolink:PhenotypicQuality	0.25	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth	109			UNMAPPED	
kgmicrobe.trait:20_30	biolink:PhenotypicQuality	20-30	BacDive_Salt_concentration|BacDive_Temperature_for_growth	109			UNMAPPED	
kgmicrobe.trait:0_2_5	biolink:PhenotypicQuality	0-2.5	BacDive_Salt_concentration	108			UNMAPPED	
kgmicrobe.trait:1_6	biolink:PhenotypicQuality	1-6	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	108			UNMAPPED	
kgmicrobe.trait:bioreactor	biolink:PhenotypicQuality	#Bioreactor	BacDive_Isolation_category_2	108			UNMAPPED	
kgmicrobe.trait:cefazolin	biolink:PhenotypicQuality	cefazolin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	108			UNMAPPED	
kgmicrobe.trait:microbial_mat	biolink:PhenotypicQuality	#Microbial mat	BacDive_Isolation_category_3	108			UNMAPPED	
kgmicrobe.trait:0_3_0_4	biolink:PhenotypicQuality	0.3-0.4	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	107			UNMAPPED	
kgmicrobe.trait:1_75	biolink:PhenotypicQuality	1.75	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration	107			UNMAPPED	
kgmicrobe.trait:microbial	biolink:PhenotypicQuality	#Microbial	BacDive_Isolation_category_2	107			UNMAPPED	
kgmicrobe.trait:5_9	biolink:PhenotypicQuality	5-9	BacDive_Cell_length|BacDive_pH_for_growth	106			UNMAPPED	
kgmicrobe.trait:esterase	biolink:PhenotypicQuality	esterase	BacDive_Enzyme_activity	106			UNMAPPED	
kgmicrobe.trait:sulfamethoxazole	biolink:PhenotypicQuality	sulfamethoxazole	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	106			UNMAPPED	
kgmicrobe.trait:wound	biolink:PhenotypicQuality	#Wound	BacDive_Isolation_category_3	106			UNMAPPED	
kgmicrobe.trait:cephalothin	biolink:PhenotypicQuality	cephalothin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	105			UNMAPPED	
kgmicrobe.pathway:thiosulfate_respiration	biolink:BiologicalProcess	thiosulfate_respiration	faprotax:type_of_metabolism	104			UNMAPPED	
kgmicrobe.trait:40	biolink:PhenotypicQuality	40	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	104			UNMAPPED	
kgmicrobe.trait:aztreonam	biolink:PhenotypicQuality	aztreonam	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	104			UNMAPPED	
kgmicrobe.trait:beta_hydroxybutyrate	biolink:PhenotypicQuality	beta-hydroxybutyrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	104			UNMAPPED	
kgmicrobe.trait:clindamycin	biolink:PhenotypicQuality	clindamycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	104			UNMAPPED	
kgmicrobe.trait:oleandomycin	biolink:PhenotypicQuality	oleandomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	104			UNMAPPED	
kgmicrobe.trait:fumarate	biolink:PhenotypicQuality	fumarate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	103			UNMAPPED	
kgmicrobe.trait:glycin_arylamidase	biolink:PhenotypicQuality	glycin arylamidase	BacDive_Enzyme_activity	103			UNMAPPED	
kgmicrobe.trait:l_proline	biolink:PhenotypicQuality	L-proline	BacDive_Metabolite_utilization	103			UNMAPPED	
kgmicrobe.trait:norfloxacin	biolink:PhenotypicQuality	norfloxacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	103			UNMAPPED	
kgmicrobe.trait:plant_factory	biolink:PhenotypicQuality	#Plant (Factory)	BacDive_Isolation_category_3	103			UNMAPPED	
kgmicrobe.pathway:aromatic_hydrocarbon_degradation	biolink:BiologicalProcess	aromatic_hydrocarbon_degradation	faprotax:type_of_metabolism	102			UNMAPPED	
kgmicrobe.trait:4_hydroxybenzoate	biolink:PhenotypicQuality	4-hydroxybenzoate	BacDive_Metabolite_utilization	102			UNMAPPED	
kgmicrobe.trait:acetic_acid	biolink:PhenotypicQuality	acetic acid	BacDive_Metabolite_production|BacDive_Metabolite_utilization	102			UNMAPPED	
kgmicrobe.trait:dinitrogen	biolink:PhenotypicQuality	dinitrogen	BacDive_Metabolite_production|BacDive_Metabolite_utilization	102			UNMAPPED	
kgmicrobe.trait:filament_shaped	biolink:PhenotypicQuality	filament-shaped	BacDive_Cell_shape	101			UNMAPPED	
kgmicrobe.compound:h2_co2	biolink:ChemicalEntity	H2 + CO2	bergey:substrates|literature:substrates	100			UNMAPPED	
kgmicrobe.trait:14_days	biolink:PhenotypicQuality	14 days	BacDive_Incubation_period	100			UNMAPPED	
kgmicrobe.trait:air	biolink:PhenotypicQuality	#Air	BacDive_Isolation_category_2	100			UNMAPPED	
kgmicrobe.trait:water_treatment_plant	biolink:PhenotypicQuality	#Water treatment plant	BacDive_Isolation_category_3	100			UNMAPPED	
