ingredient_name	occurrence_count	chebi_id	cas_rn	kg_microbe_node_id	mim_id	culturemech_term_id	mapping_status	synonyms	example_media
Dipotassium Phosphate	6	CHEBI:131527	7758-11-4	CHEBI:131527	CHEBI:131527	CHEBI:131527	MAPPED	K2HPO4 x 3H2O|K2HPO4 · 3 H2O|K2HPO4.3H2O|K2HPO4x 3 H2O|K2HPO4·3H2O|K2HPO4・3H2O|dipotassium hydrogen phosphate	CultureMech:003605; CultureMech:008799; CultureMech:000470
1,4-Naphthoquinone	6	CHEBI:27418	130-15-4	CHEBI:27418	CHEBI:27418	CHEBI:27418	MAPPED	1,4-NQ|1,4-Naphthalenedione|1,4-dihydro-1,4-diketonaphthalene|[1,4]naphthoquinon|alpha-naphthoquinone|naphthalene-1,4-dione|naphthoquinone|p-naphthoquinone	CultureMech:003607; CultureMech:005883; CultureMech:007784
Fe2(SO4)3 x H2O	6						UNMAPPED		CultureMech:003629; CultureMech:004212; CultureMech:001280
Na	6						UNMAPPED		CultureMech:003646; CultureMech:004443; CultureMech:005096
DL-Malic acid	6	CHEBI:6650	6915-15-7	CHEBI:6650	CHEBI:6650	CHEBI:6650	MAPPED	2-Hydroxybutanedioic acid|2-Hydroxyethane-1,2-dicarboxylic acid|2-Hydroxysuccinic acid|7,10-dihydroxy-2-(2-methoxypropan-2-yl)-8-(2-methylbut-3-en-2-yl)-6H-furo[3,2-c]xanthen-6-one|Aepfelsaeure|D,L-Malic Acid|DL-Malate|E296|H2mal|Malic acid|alpha-hydroxysuccinic acid|apple acid|garciniaxanthone F|hydroxybutanedioic acid|hydroxysuccinic acid|malic acid	CultureMech:003858; CultureMech:006942; CultureMech:002163
CuCl2 x 6 H2O	6	CHEBI:49553	7447-39-4	CHEBI:49553	CHEBI:49553	CHEBI:49553	MAPPED	CuCl2 x H2O|CuCl2 · H2O|CuCl2 × 6H2O|Cupric chloride anhydrous|copper dichloride|copper(2+) dichloride|copper(II) chloride	CultureMech:003901; CultureMech:004114; CultureMech:000857
Malic acid	6	CHEBI:6650	6915-15-7	CHEBI:6650	CHEBI:6650	CHEBI:6650	MAPPED	2-Hydroxybutanedioic acid|2-Hydroxyethane-1,2-dicarboxylic acid|2-Hydroxysuccinic acid|7,10-dihydroxy-2-(2-methoxypropan-2-yl)-8-(2-methylbut-3-en-2-yl)-6H-furo[3,2-c]xanthen-6-one|Aepfelsaeure|D,L-Malic Acid|DL-Malate|E296|H2mal|Malic acid|alpha-hydroxysuccinic acid|apple acid|garciniaxanthone F|hydroxybutanedioic acid|hydroxysuccinic acid|malic acid	CultureMech:003903; CultureMech:006228; CultureMech:000876
air-dried garden soil	6				ENVO:00002263		MAPPED	garden soil	CultureMech:004048; CultureMech:006961; CultureMech:010373
Maltose x H2O	6	CHEBI:17306	69-79-4		CHEBI:17306	CHEBI:17306	MAPPED	1-alpha-D-Glucopyranosyl-4-alpha-D-glucopyranose|4-(alpha-D-glucosido)-D-glucose|4-O-alpha-D-glucopyranosyl-D-glucopyranose|4-O-alpha-D-glucopyranosyl-alpha-D-glucopyranose|Cextromaltose|D-(+)-maltose|D-Maltose|D-maltose (maltose)|Glca1-4Glca|Glcalpha1-4Glca|Glcalpha1-4Glcalpha|Malt sugar|Maltose x H2O|Malzzucker|alpha-D-Glcp-(1->4)-D-Glcp|alpha-D-Glcp-(1->4)-alpha-D-Glcp|alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose|alpha-D-glucopyranosyl-(1->4)-D-glucose	CultureMech:004403; CultureMech:006647; CultureMech:001999
Raffinose	6	CHEBI:16634	512-69-6	CHEBI:16634	CHEBI:16634	CHEBI:16634	MAPPED	6G-alpha-D-galactosylsucrose|D-raffinose (raffinose)|Gossypose|Melitose|Melitriose|alpha-D-Galp-(1->6)-alpha-D-Glcp-(1<->2)-beta-D-Fruf|alpha-D-galactopyranosyl-(1->6)-alpha-D-glucopyranosyl beta-D-fructofuranoside|beta-D-fructofuranosyl alpha-D-galactopyranosyl-(1->6)-alpha-D-glucopyranoside|rafinose|raflinose	CultureMech:004577; CultureMech:007694; CultureMech:008191
Na-gluconate	6	CHEBI:84997	527-07-1	CHEBI:84997	CHEBI:84997	CHEBI:84997	MAPPED	D-Gluconic acid, monosodium salt|Gluconic acid sodium salt|Monosodium D-gluconate|Monosodium gluconate|Na gluconate|Na-gluconate|sodium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate	CultureMech:004663; CultureMech:006159; CultureMech:001771
Gelatine	6	CHEBI:5291	9000-70-8	CHEBI:5291	CHEBI:5291	CHEBI:5291	MAPPED	Gelatin|gelatin	CultureMech:005218; CultureMech:001513; CultureMech:001817
Bovine serum	6				UNMAPPED_0345		UNMAPPED		CultureMech:005285; CultureMech:006314; CultureMech:006643
MnSO4 x 1 H2O	6	CHEBI:86360	7785-87-7	CHEBI:86360	CHEBI:86360	CHEBI:86360	MAPPED	Manganese sulfate anhydrous|MnSO4 . 7H2O|MnSO4 x 1 H2O|MnSO4 x 7H2O|MnSO4.7H2O|MnSO4·7H2O|MnSO4・xH2O|manganese(2+) sulfate|manganese(II) sulfate	CultureMech:006113; CultureMech:001261; CultureMech:001260
Na2Mo4 x 2 H2O	6	CHEBI:75213	10102-40-6	CHEBI:75213	CHEBI:75213	CHEBI:75213	MAPPED	Disodium molybdate dihydrate|Molybdic acid, disodium salt, dihydrate|Na2 MoO4 x 2 H2O|Na2Mo4 x 2 H2O|Na2MoO4*2 H2O|Na2MoO4*2H2O|Na2MoO4-2H2O|Na2MoO4.2H2O|Na2MoO7 x 2 H2O|Na2MoO7O4 x 2 H2O|Na2MoSO4|Na2MoSO4 x 2 H2O|NaMoO4|NaMoO4 x 2 H2O|Sodium Molybdate Dihydrate|Sodium molybdate(VI) dihydrate|sodium dioxido(dioxo)molybdenum--water (1/2)|sodium molybdate dihydrate|sodium orthomolybdate dihydrate	CultureMech:006498; CultureMech:009210; CultureMech:003744
Na-crotonate	6	CHEBI:35899	17342-77-7	CHEBI:35899	CHEBI:35899	CHEBI:35899	MAPPED	(2E)-2-butenoate|(2E)-but-2-enoate|(E)-2-butenoate|(E)-crotonate|3-methylacrylate|alpha-butenoate|alpha-crotonate|beta-methacrylate|beta-methylacrylate|crotonate|trans-2-butenoate|trans-crotonate	CultureMech:006758; CultureMech:006754; CultureMech:006755
Fish peptone (Fluka)	6				MICRO:0000178		MAPPED	Bacteriological peptone|Bacto Peptone (Difco)|Bacto peptone (BD--Difco)|Bacto peptone (BD-Difco)|Bacto-Peptone (BD)|Fish peptone|Fish peptone (Fluka)|Gelatin peptone|Meat peptone|Neopeptone|Neopeptone (BD-Difco)|Neopeptone (Difco Laboratories, Detroit, Ml)|Oxoid peptone|Peptone|Peptone (BBL 11910)|Peptone (BD BACTO)|Peptone (BD Bacto)|Peptone (BD--Difco)|Peptone (BD-Difco)|Peptone (Oxoid)|Peptone (meat)|Peptone from meat|Peptone from meat (pepsin-digested)|Peptone mixture|Peptone, Bacto (BD 211677)|Universal peptone|Universal peptone (Merck)|peptone	CultureMech:007514; CultureMech:007515; CultureMech:007882
BaCl2	6	CHEBI:63317	233-788-1	CHEBI:63317	CHEBI:63317	CHEBI:63317	MAPPED	barium chloride|barium dichloride	CultureMech:007611; CultureMech:009124; CultureMech:002214
L--Glutamic acid	6	CHEBI:16015	56-86-0	CHEBI:16015	CHEBI:16015	CHEBI:16015	MAPPED	(2S)-2-aminopentanedioic acid|(S)-2-aminopentanedioic acid|(S)-glutamic acid|GLUTAMIC ACID|L-Glu|L-Glutamate|L-Glutaminic acid|L-Glutaminsaeure|acide glutamique|acido glutamico|acidum glutamicum	CultureMech:007698; CultureMech:010217; CultureMech:010218
1 N HCl	6						UNMAPPED		CultureMech:007890; CultureMech:009169; CultureMech:009209
Ca(NO3)2·4H2O	6	CHEBI:86159	13477-34-4		CHEBI:86159	CHEBI:86159	MAPPED	(1)  Ca(NO3)2.4H2O|Ca(NO3)2 x 4 H2O (0.1% w/v)|Ca(NO3)2 · 4H2O|Ca(NO3)2.4H2O|Ca(NO3)2x4H2O|Ca(NO3)2·4H2O|Ca(NO3)2・4H2O|Calcium dinitrate tetrahydrate|Calcium nitrate tetrahydrate|calcium nitrate tetrahydrate|calcium nitrate--water (1/4)	CultureMech:008442; CultureMech:008199; CultureMech:008660
Ferric pyrophosphate	6	CHEBI:132767	10058-44-3		CHEBI:132767	CHEBI:132767	MAPPED	Ferric pyrophosphate|Iron pyrophosphate|Iron(3+) pyrophosphate|Iron(III) diphosphate|Iron(III) pyrophosphate|Tetrairon tris(pyrophosphate)|ferric diphosphate|ferric pyrophosphate|iron(3+) diphosphate|iron(3+) diphosphate (4/3)|tetrairon tris(diphosphate)	CultureMech:008727; CultureMech:009243; CultureMech:009559
H2O	6	CHEBI:15377	7732-18-5	CHEBI:15377	CHEBI:15377	CHEBI:15377	MAPPED	BOUND WATER|Demineralized water|Double distilled water|H(2)O|H2O|HOH|Sterile dH2O|Tap water|WATER|Wasser|[OH2]|acqua|agua|aqua|dH2O|dihydridooxygen|dihydrogen oxide|eau|hydrogen hydroxide|oxidane|sterile dH2O|water	CultureMech:008844; CultureMech:008868; CultureMech:009053
Tryptone (BD 211705)	6		84843-69-6		MICRO:0000182		MAPPED	Bacto Tryptone|Bacto Tryptone (DIfco)|Bacto Tryptone (Difco)|Bacto tryptone|Difco Bacto- Tryptone|Pancreatic digest of casein|Proteose tryptone (DIFCO 0123-01)|Tryptone (BD 211705)|Tryptone (BD BACTO)|Tryptone (BD BBL)|Tryptone (BD Bacto)|Tryptone (BD--Difco)|Tryptone (BD-Difco)|Tryptone (Bacto Trypton 211705)|Tryptone (Difco 0123)|Tryptone (Difco)|Tryptone (Diffico)|Tryptone (Sigma T 9410)|Tryptone (VWR, J859-500G)|Tryptone(CAS: 91079-40-2)|Tryptone(Sigma T 9410)|Tryptone(Sigma T 9410))|tryptone (BD-Difco)|tryptone [Difco]	CultureMech:008899; CultureMech:009227; CultureMech:008898
MnCl2 · 4H2O	6	CHEBI:86368	13446-34-9		CHEBI:86368	CHEBI:86368	MAPPED	Manganese (II) chloride tetrahydrate|Manganese chloride tetrahydrate|Manganese dichloride tetrahydrate|Manganous chloride tetrahydrate|MnCl2 . 4H2O|MnCl2 · 4H2O|MnCl2 × 4H2O|MnCl2 ∙ 4 H2O|MnCl2.4H2O|MnCl2∙4H2O|MnCl2⋅4H2O|MnCl2・4H2O|MnCl2･4H2O|MnCl4 x 4 H2O|dichloromanganese--water (1/4)|manganese(2+) chloride tetrahydrate|manganese(2+) chloride--water (1/4)|manganese(II) chloride tetrahydrate	CultureMech:008962; CultureMech:009072; CultureMech:009411
water	6	CHEBI:15377	7732-18-5	CHEBI:15377	CHEBI:15377	CHEBI:15377	MAPPED	BOUND WATER|Demineralized water|Double distilled water|H(2)O|H2O|HOH|Sterile dH2O|Tap water|WATER|Wasser|[OH2]|acqua|agua|aqua|dH2O|dihydridooxygen|dihydrogen oxide|eau|hydrogen hydroxide|oxidane|sterile dH2O|water	CultureMech:008992; CultureMech:009738; CultureMech:010107
Fetal bovine serum (heat-inactivated)	6						UNMAPPED		CultureMech:009030; CultureMech:009031; CultureMech:009032
sheep blood	6						UNMAPPED		CultureMech:009079; CultureMech:009379; CultureMech:008877
Nitrogen	6	CHEBI:17997			CHEBI:17997	CHEBI:17997	MAPPED	#N2|N#N|N(2)|N2|Nitrogen|Nitrogen (gas)|dinitrogen|molecular nitrogen	CultureMech:009137; CultureMech:009671; CultureMech:009254
AIK(SO4)2 x 12 H2O	6						UNMAPPED		CultureMech:009171; CultureMech:009173; CultureMech:009190
Na2WO4 . 2H2O	6	CHEBI:63939	10213-10-2		CHEBI:63939	CHEBI:63939	MAPPED	Na-tungstate x 2 H2O|Na2WO2 x 2 H2O|Na2WO4 . 2H2O|Na2WO4 x 2 H2O (0.1% w/v)|Na2WO4 × 2H2O|Na2WO4*2H2O|Na2WO4.2H2O|Na2WO4·2H2O|Na2WO4・2H2O|NaWO4·2H2O|Sodium tungstate dihydrate|Tungstic acid, sodium salt, dihydrate|sodium dioxido(dioxo)tungsten--water (1/2)|sodium orthotungstate dihydrate|sodium tungstate dihydrate|sodium tungstate(VI) dihydrate	CultureMech:009259; CultureMech:009144; CultureMech:009605
(NH4)2CO3	6						UNMAPPED		CultureMech:009296; CultureMech:006377; CultureMech:001867
glycerol	6	CHEBI:17754	56-81-5	CHEBI:17754	CHEBI:17754	CHEBI:17754	MAPPED	1,2,3-Propanetriol|1,2,3-Trihydroxypropane|G Glycerol|Glyceritol|Glyzerin|Oelsuess|Propanetriol|Trihydroxypropane|glycerine	CultureMech:009382; CultureMech:010305; CultureMech:008788
MgCl2.6H2O	6	CHEBI:86345	7791-18-6		CHEBI:86345	CHEBI:86345	MAPPED	Chlorure de magnesium hydrate|Magnesium chloride hexahydrate|Magnesium chloride hydrate|MgCl2  x 6 H2O|MgCl2 . 6H2O|MgCl2 x 6 H2O (200 g/l stock solution)|MgCl2 · 6H2O|MgCl2.6H2O|MgCl2x 6H2O|MgCl2x6H2O|MgCl2·6 H2O|MgCl2·6H2O|MgCl2⋅6H2O|MgCl2・6H2O|magnesium dichloride hexahydrate|magnesium dichloride--water (1/6)	CultureMech:009593; CultureMech:009611; CultureMech:009680
Co(NO3)2 . 6H2O	6	CHEBI:86214	10026-22-9		CHEBI:86214	CHEBI:86214	MAPPED	Co(NO3)2 . 6H2O|Co(NO3)2 x 6H2O|Co(NO3)2 · 6H2O|Co(NO3)2.6H2O|Co(NO3)2·6H2O|Co(NO3)2・6H2O|Cobalt nitrate hexahydrate|Cobalt(2+) nitrate hexahydrate|Cobalt(II) nitrate hexahydrate|Cobaltous nitrate hexahydrate|cobalt dinitrate hexahydrate|cobalt(2+) nitrate--water (1/6)	CultureMech:009627; CultureMech:009170; CultureMech:009249
CuCl2.2H2O	6	CHEBI:86318	10125-13-0	CHEBI:86318	CHEBI:86318	CHEBI:86318	MAPPED	Copper(II) chloride dihydrate|Coppertrace|CuCl 2|CuCl 2 x 2 H2O|CuCl2 . 2H2O|CuCl2 .2H2O|CuCl2 x 2H2O|CuCl2 · 2H2O|CuCl2*2H2O|CuCl2-2H2O|CuCl2.2H2O|CuCl2·2H2O|CuCl2⋅2H2O|CuCl2・2H2O|Cupric chloride dihydrate|copper (II) chloride dihydrate|copper dichloride--water (1/2)|copper(2+) dichloride --water (1/2)|copper(II) chloride dihydrate|copper(II) chloride--water (1/2)|copper(II) chloride.2H2O|cupric chloride.2H2O	CultureMech:009667; CultureMech:009665; CultureMech:009338
N--Z amine, type A (Sheffield)	6						UNMAPPED		CultureMech:009750; CultureMech:009761; CultureMech:009782
D--Glucose	6						UNMAPPED		CultureMech:009755; CultureMech:009757; CultureMech:009814
Coenzyme A	6	CHEBI:15346	85-61-0	CHEBI:15346	CHEBI:15346	CHEBI:15346	MAPPED	(sodium salt)|3'-phosphoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-({3-oxo-3-[(2-sulfanylethyl)amino]propyl}amino)butyl] dihydrogen diphosphate}|3'-phosphoadenosine-(5')diphospho(4')pantatheine|CoA-SH|CoASH|Coenzym A|HSCoA|Koenzym A|[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R)-3-hydroxy-4-({3-oxo-3-[(2-sulfanylethyl)amino]propyl}amino)-2,2-dimethyl-4-oxobutyl dihydrogen diphosphate	CultureMech:009931; CultureMech:006647; CultureMech:001999
FAD	6	CHEBI:16238	146-14-5	CHEBI:16238	CHEBI:16238	CHEBI:16238	MAPPED	Adenosine 5'-(trihydrogen pyrophosphate), 5'-5'-ester with riboflavine|FLAVIN-ADENINE DINUCLEOTIDE|Riboflavin 5'-(trihydrogen diphosphate), 5'-5'-ester with adenosine|Riboflavin 5'-adenosine diphosphate|adenosine 5'-(3-{D-ribo-5-[7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl]-2,3,4-trihydroxypentyl} dihydrogen diphosphate)|adenosine 5'-[3-(riboflavin-5'-yl) dihydrogen diphosphate]	CultureMech:009931; CultureMech:006647; CultureMech:001999
1 M Sodium lactate	6	CHEBI:75228	72-17-3	CHEBI:75228	CHEBI:75228	CHEBI:75228	MAPPED	(after autoclaving)|1 M Sodium lactate|2-Hydroxypropanoic acid, monosodium salt|DL-Na-lactate|E325|Lactate (sodium salt)|Lactic acid sodium salt|Lactic acid, monosodium salt|Mediject L|Monosodium 2-hydroxypropanoate|Monosodium lactate|Na-(DL)-lactate|Na-DL-lactate|Na-lactate|Sodium DL-lactate|Sodium alpha-hydroxypropionate|sodium 2-hydroxypropanoate	CultureMech:009945; CultureMech:009947; CultureMech:009964
L--Cysteine・H2O・HCl	6						UNMAPPED		CultureMech:009948; CultureMech:009949; CultureMech:009950
Marine agar 2216 (BD-Difco)	6						UNMAPPED		CultureMech:010079; CultureMech:010382; CultureMech:010390
2-Mercaptoethanesulfonic acid	6	CHEBI:17905	3375-50-6	CHEBI:17905	CHEBI:17905	CHEBI:17905	MAPPED	(sodium salt)|1-THIOETHANESULFONIC ACID|2-Mercaptoethanesulfonic acid|2-mercaptoethanesulphonic acid|2-sulfanylethanesulfonic acid|2-sulfanylethylsulfonate|CoM|Coenzym M|Coenzyme M|HS-CoM|beta-mercaptoethanesulfonic acid|coenzima M|coenzyme M|reduced CoM|reduced coenzyme M	CultureMech:001192; CultureMech:001076; CultureMech:001075
MgCl2 · 6H2O	6	CHEBI:86345	7791-18-6		CHEBI:86345	CHEBI:86345	MAPPED	Chlorure de magnesium hydrate|Magnesium chloride hexahydrate|Magnesium chloride hydrate|MgCl2  x 6 H2O|MgCl2 . 6H2O|MgCl2 x 6 H2O (200 g/l stock solution)|MgCl2 · 6H2O|MgCl2.6H2O|MgCl2x 6H2O|MgCl2x6H2O|MgCl2·6 H2O|MgCl2·6H2O|MgCl2⋅6H2O|MgCl2・6H2O|magnesium dichloride hexahydrate|magnesium dichloride--water (1/6)	CultureMech:008960; CultureMech:009688; CultureMech:008958
sodium silicate	6	CHEBI:60720	1344-09-8	CHEBI:60720	CHEBI:60720	CHEBI:60720	MAPPED	(5)  Sodium metasilicate|Na silicate|Sodium Silicate|Sodium polysilicate|Sodium sesquisilicate|Sodium silicate glass|Sodium siliconate|disodium oxosilanediolate|sodium silicate	CultureMech:007196; CultureMech:007289; CultureMech:007221
Sodium iodide	6	CHEBI:33167	7681-82-5		CHEBI:33167		MAPPED		CultureMech:007250; CultureMech:007151; CultureMech:007153
Pyridoxamine HCl	6	CHEBI:131531	5103-96-8		CHEBI:131531	CHEBI:131531	MAPPED	4-(Aminomethyl)-5-hydroxy-6-methyl-3-pyridinemethanol hydrochloride|4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol hydrochloride|Pyridoxamine HCl|Pyridoxamine-HCl|Pyridoxamine·HCl|[3-hydroxy-5-(hydroxymethyl)-2-methylpyridin-4-yl]methanaminium chloride|pyridoxamine monohydrochloride	CultureMech:007092; CultureMech:007222; CultureMech:007297
Artificial Sea Salt	6				MICRO:0001647		MAPPED	sea salt	CultureMech:001162; CultureMech:001202; CultureMech:001224
GAM broth	6				UNMAPPED_0388		UNMAPPED		CultureMech:002931; CultureMech:002401; CultureMech:003042
'(S	6						UNMAPPED		CultureMech:007119; CultureMech:007136; CultureMech:007426
Bromocresol purple	6	CHEBI:86154	115-40-2		CHEBI:86154	CHEBI:86154	MAPPED	"3,3-bis(3-bromo-4-hydroxy-5-methylphenyl)-2,1lambda(6)-benzoxathiole-1,1(3H)-dione|5',5""""-dibromo-o-cresolsulfophthalein|HSDB 7729|bromocresol purple"""	CultureMech:001826; CultureMech:001432; CultureMech:006294
Ferrous ammonium sulfate	6						UNMAPPED		CultureMech:007380; CultureMech:007381; CultureMech:009619
Cereal leaves	6				UNMAPPED_0356		UNMAPPED		CultureMech:000375; CultureMech:000378; CultureMech:000376
Aluminum chloride hydrate	6		10124-27-3		cas:10124-27-3		MAPPED	Aluminum Chloride	CultureMech:015528; CultureMech:015529; CultureMech:015530
Pantothenic Acid	6	CHEBI:7916	599-54-2	CHEBI:7916	CHEBI:7916	CHEBI:7916	MAPPED	3-(2,4-dihydroxy-3,3-dimethylbutanamido)propanoic acid|DL-Pantothenic acid|N-(2,4-dihydroxy-3,3-dimethylbutanoyl)-beta-alanine	CultureMech:015528; CultureMech:015529; CultureMech:015530
p-Amino Benzoic Acid	6	CHEBI:194474	150-13-0	CHEBI:30753	CHEBI:30753	CHEBI:194474	MAPPED	1-Amino-4-carboxybenzene|4-Amino-benzoic acid|4-Aminobenzoesaeure|4-Aminobenzoic Acid|4-Carboxyaniline|4-Carboxyphenylamine|4-aminobenzoic acid|ABEE|PABA|Para-aminobenzoic acid|gamma-Aminobenzoic acid|p--Aminobenzoic acid|p-Amino Benzoic Acid|p-Aminobenzoesaeure|p-carboxyaniline|p-carboxyphenylamine	CultureMech:015528; CultureMech:015529; CultureMech:015530
D,L-6,8-Thioctic Acid	6	CHEBI:43796	1077-27-6		CHEBI:43796	CHEBI:43796	MAPPED	(S)-(-)-lipoic acid|(S)-1,2-dithiolane-3-pentanoic acid|(S)-alpha-lipoic acid|(S)-lipoic acid|5-[(3S)-1,2-dithiolan-3-yl]pentanoic acid|D,L-6,8-Thioctic Acid|L-1,2-dithiolane 3-valeric acid|L-6,8-thioctic acid|L-6-thioctic acid|S-LA|SLA|thioctic acid l-form	CultureMech:015528; CultureMech:015529; CultureMech:015530
L-tyrosine disodium salt	6	CHEBI:53696	69847-45-6		CHEBI:53696	CHEBI:53696	MAPPED	L-Tyrosine sodium salt (1:2)|disodium L-tyrosinate	CultureMech:015531; CultureMech:015731; CultureMech:015732
D-Maltose monohydrate	6		6363-53-7		cas:6363-53-7		MAPPED	Maltose monohydrate|alpha-D-glucopyranosyl-(1->4)-D-glucopyranose|alpha-D-glucopyranosyl-(1->4)-D-glucose|maltose	CultureMech:015582; CultureMech:015740; CultureMech:015741
CaCl .6H O	5	CHEBI:3312	10043-52-4	CHEBI:3312	CHEBI:3312	CHEBI:3312	MAPPED	CaCl2 × 2 H2O|CaCl2*2H2O|CaCl22H2O|calcium dichloride	CultureMech:000106; CultureMech:000105; CultureMech:000108
EDTANa	5	CHEBI:64734	7487-55-0	CHEBI:64734	CHEBI:64734	CHEBI:64734	MAPPED	EDTA disodium (anhydrous)|EDTA disodium salt (anhydrous)|Edetate disodium anhydrous|Na-EDTA x 2 H2O|Na2-EDTA·2H2O|disodium 2,2',2'',2'''-(ethane-1,2-diyldiammonio)tetraacetate	CultureMech:000041; CultureMech:000125; CultureMech:000135
Trace element solution (see Medium No. 1079 )	5						UNMAPPED		CultureMech:015832; CultureMech:015831; CultureMech:015839
Phenol	5	CHEBI:15882	108-95-2		CHEBI:15882	CHEBI:15882	MAPPED	Benzenol|Carbolsaeure|Hydroxybenzene|Karbolsaeure|Oxybenzene|PhOH|Phenic acid|Phenylic acid|Phenylic alcohol|acide carbolique|acide phenique|carbolic acid	CultureMech:000264; CultureMech:007346; CultureMech:007371
Na2HPO4·2H2O	5	CHEBI:34683	7782-85-6	CHEBI:34683	CHEBI:34683	CHEBI:34683	MAPPED	Na2HPO4 . 12H2O|Na2HPO4 x 12 H2O|Na2HPO4 x 2 H2O|Na2HPO4 x 2H2O|Na2HPO4 x 3 H2O|Na2HPO4 x 6 H2O|Na2HPO4 x H2O|Na2HPO4 x2 H2O|Na2HPO4.12H2O|Na2HPO4.7H2O|Na2HPO4·12H2O|Na2HPO4•7H2O|disodium hydrogenphosphate	CultureMech:008437; CultureMech:007941; CultureMech:008639
NaCO3	5	CHEBI:29377		CHEBI:29377	CHEBI:29377	CHEBI:29377	MAPPED	disodium trioxidocarbonate|sodium carbonate	CultureMech:000948; CultureMech:000869; CultureMech:001079
Na-tartrate	5	CHEBI:63017	868-18-8	CHEBI:63017	CHEBI:63017	CHEBI:63017	MAPPED	(R-(R*,R*))-2,3-dihydroxybutanedioic acid, disodium salt|Bisodium tartrate|Disodium L-(+)-tartrate|Disodium salt of L-(+)-tartaric acid|Sodium L-(+)-tartrate|Tartaric acid, disodium salt|disodium (2R,3R)-2,3-dihydroxybutanedioate|disodium (R-(R*,R*))-2,3-dihydroxybutanedioate|disodium tartrate|sodium L-tartrate	CultureMech:001809; CultureMech:006077; CultureMech:006257
Defibrinated Blood	5						UNMAPPED		CultureMech:001823; CultureMech:004613; CultureMech:000788
Hipolypepton	5				FOODON:03315306		MAPPED	Hipolypepton|Hipolypepton (Nihon seiyaku)|Polypepton|Polypepton (Nihon Pharm. Co.)|Polypeptone Peptone (BD 211910)|Polypeptone peptone (BD-BBL)|protein hydrolyzates	CultureMech:002467; CultureMech:007937; CultureMech:009697
Trace element solution (see Medium No. 439 )	5						UNMAPPED		CultureMech:015841; CultureMech:015842; CultureMech:015850
Thiamine·HCl	5	CHEBI:49105	67-03-8	CHEBI:49105	CHEBI:49105	CHEBI:49105	MAPPED	3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium chloride hydrochloride|3-[(4-azaniumyl-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium dichloride|Thiamin HCl|Thiamin-HCl|Thiamine Dihydrochloride|Thiamine HCl (B ) -|Thiamine HCl (Vitamin B )|Thiamine HCl (Vitamin B1)|Thiamine hydrochloride|Thiamine-HCl|Thiamine HCl|Thiamine·HCl|Thiamine・HCl|thiamin dichloride|thiamin hydrochloride|thiamine chloride hydrochloride|thiamine dichloride|thiamine hydrochloride|thiamine(2+) dichloride|thiaminium chloride hydrochloride	CultureMech:015841; CultureMech:015879; CultureMech:007623
10 N NaOH	5						UNMAPPED		CultureMech:015879; CultureMech:007738; CultureMech:009097
Potassium Phosphate	5	CHEBI:63036	7778-77-0	CHEBI:63036	CHEBI:63036	CHEBI:63036	MAPPED	(dibasic)|KH PO|KH2PO4(Sigma P 0662)|MKP|Monopotassium dihydrogen phosphate|Monopotassium monophosphate|Monopotassium orthophosphate|Monopotassium phosphate|Orthophosphoric acid, monopotassium salt|Phosphoric acid, monopotassium salt|Phosphoric acid, potassium salt (1:1)|Potassium Phosphate|Potassium acid phosphate|Potassium dihydrogen orthophosphate|Potassium dihydrogen phosphate|Potassium phosphate monobasic|Sorensen's potassium phosphate|potassium dihydrogen phosphate	CultureMech:003541; CultureMech:004003; CultureMech:000450
Tris buffer	5	CHEBI:9754	77-86-1	CHEBI:9754	CHEBI:9754	CHEBI:9754	MAPPED	1,1,1-tris(hydroxymethyl)methanamine|2-Amino-2-(hydroxymethyl)-1,3-propanediol|2-amino-2-(hydroxymethyl)propane-1,3-diol|THAM|Tris|Tris (hydroxymethyl aminomethane)|Tris HCl|Tris [tris(hydroxymethyl)aminomethane]|Tris amino|Tris base (buffer)|Tris buffer|Tris buffer 1M|Tris hydrochloride|Tris(hydroxymethyl)aminomethane|Tris(hydroxymethyl)methylamine|Tris-HCl buffer|Tris-base|Tris [tris(hydroxymethyl)aminomethane]|Trizma|Trizma Base pH|Trizma Base pH 8.2|Trometamol|Tromethamine|aminotris(hydroxymethyl)methane|nitrilotriacetic acid trisodium salt|tris	CultureMech:003742; CultureMech:003999; CultureMech:000701
VOSO4 x H2O	5	CHEBI:87020	123334-20-3		CHEBI:87020		MAPPED	VOSO4 x H2O|VOSO4(H2O)n|VOSO4(H2O)x|VOSO4.nH2O|VOSO4.xH2O|VOSO4·xH2O|vanadyl sulfate hydrate	CultureMech:003808; CultureMech:003809; CultureMech:000541
